Point,Player1,Score1,Player2,Score2,Games Won P1,Games Won P2
Point 1,BEST,FIFTEEN,WORST,LOVE,11,1
Point 2,BEST,THIRTY,WORST,LOVE,11,1
Point 3,BEST,FORTY_FIVE,WORST,LOVE,11,1
Point 4,BEST,GAME,WORST,LOVE,11,1
Point 5,BEST,FIFTEEN,WORST,LOVE,11,1
Point 6,BEST,THIRTY,WORST,LOVE,11,1
Point 7,BEST,FORTY_FIVE,WORST,LOVE,11,1
Point 8,BEST,GAME,WORST,LOVE,11,1
Point 9,BEST,FIFTEEN,WORST,LOVE,11,1
Point 10,BEST,THIRTY,WORST,LOVE,11,1
Point 11,BEST,FORTY_FIVE,WORST,LOVE,11,1
Point 12,BEST,GAME,WORST,LOVE,11,1
Point 13,BEST,FIFTEEN,WORST,LOVE,11,1
Point 14,BEST,THIRTY,WORST,LOVE,11,1
Point 15,BEST,FORTY_FIVE,WORST,LOVE,11,1
Point 16,BEST,GAME,WORST,LOVE,11,1
Point 17,BEST,FIFTEEN,WORST,LOVE,11,1
Point 18,BEST,THIRTY,WORST,LOVE,11,1
Point 19,BEST,THIRTY,WORST,FIFTEEN,11,1
Point 20,BEST,THIRTY,WORST,THIRTY,11,1
Point 21,BEST,THIRTY,WORST,FORTY_FIVE,11,1
Point 22,BEST,THIRTY,WORST,GAME,11,1
Point 23,BEST,LOVE,WORST,FIFTEEN,11,1
Point 24,BEST,LOVE,WORST,THIRTY,11,1
Point 25,BEST,FIFTEEN,WORST,THIRTY,11,1
Point 26,BEST,THIRTY,WORST,THIRTY,11,1
Point 27,BEST,FORTY_FIVE,WORST,THIRTY,11,1
Point 28,BEST,GAME,WORST,THIRTY,11,1
Point 29,BEST,FIFTEEN,WORST,LOVE,11,1
Point 30,BEST,THIRTY,WORST,LOVE,11,1
Point 31,BEST,FORTY_FIVE,WORST,LOVE,11,1
Point 32,BEST,GAME,WORST,LOVE,11,1
Point 33,BEST,FIFTEEN,WORST,LOVE,11,1
Point 34,BEST,THIRTY,WORST,LOVE,11,1
Point 35,BEST,FORTY_FIVE,WORST,LOVE,11,1
Point 36,BEST,GAME,WORST,LOVE,11,1
Point 37,BEST,FIFTEEN,WORST,LOVE,11,1
Point 38,BEST,THIRTY,WORST,LOVE,11,1
Point 39,BEST,FORTY_FIVE,WORST,LOVE,11,1
Point 40,BEST,GAME,WORST,LOVE,11,1
Point 41,BEST,FIFTEEN,WORST,LOVE,11,1
Point 42,BEST,THIRTY,WORST,LOVE,11,1
Point 43,BEST,FORTY_FIVE,WORST,LOVE,11,1
Point 44,BEST,GAME,WORST,LOVE,11,1
Point 45,BEST,FIFTEEN,WORST,LOVE,11,1
Point 46,BEST,THIRTY,WORST,LOVE,11,1
Point 47,BEST,FORTY_FIVE,WORST,LOVE,11,1
Point 48,BEST,GAME,WORST,LOVE,11,1
Point 49,BEST,FIFTEEN,WORST,LOVE,11,1
Point 50,BEST,THIRTY,WORST,LOVE,11,1
Point 51,BEST,FORTY_FIVE,WORST,LOVE,11,1
Point 52,BEST,GAME,WORST,LOVE,11,1
Point 53,BEST,FIFTEEN,WORST,LOVE,11,1
Point 54,BEST,THIRTY,WORST,LOVE,11,1
