Point,Player1,Score1,Player2,Score2,Games Won P1,Games Won P2
Point 1,Victor,LOVE,Lesslie,FIFTEEN,2,3
Point 2,Victor,LOVE,Lesslie,THIRTY,2,3
Point 3,Victor,LOVE,Lesslie,FORTY_FIVE,2,3
Point 4,Victor,FIFTEEN,Lesslie,LOVE,2,3
Point 5,Victor,THIRTY,Lesslie,LOVE,2,3
Point 6,Victor,FORTY_FIVE,Lesslie,LOVE,2,3
Point 7,Victor,GAME,Lesslie,LOVE,2,3
Point 8,Victor,FIFTEEN,Lesslie,LOVE,2,3
Point 9,Victor,THIRTY,Lesslie,LOVE,2,3
Point 10,Victor,LOVE,Lesslie,FIFTEEN,2,3
Point 11,Victor,LOVE,Lesslie,THIRTY,2,3
Point 12,Victor,LOVE,Lesslie,FORTY_FIVE,2,3
Point 13,Victor,LOVE,Lesslie,GAME,2,3
Point 14,Victor,LOVE,Lesslie,FIFTEEN,2,3
Point 15,Victor,LOVE,Lesslie,THIRTY,2,3
Point 16,Victor,FIFTEEN,Lesslie,LOVE,2,3
Point 17,Victor,THIRTY,Lesslie,LOVE,2,3
Point 18,Victor,LOVE,Lesslie,FORTY_FIVE,2,3
Point 19,Victor,LOVE,Lesslie,GAME,2,3
Point 20,Victor,LOVE,Lesslie,FIFTEEN,2,3
Point 21,Victor,LOVE,Lesslie,THIRTY,2,3
Point 22,Victor,LOVE,Lesslie,FORTY_FIVE,2,3
Point 23,Victor,LOVE,Lesslie,GAME,2,3
Point 24,Victor,FIFTEEN,Lesslie,LOVE,2,3
Point 25,Victor,THIRTY,Lesslie,LOVE,2,3
Point 26,Victor,FORTY_FIVE,Lesslie,LOVE,2,3
Point 27,Victor,GAME,Lesslie,LOVE,2,3
Point 28,Victor,FIFTEEN,Lesslie,LOVE,2,3
